Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Employee,Chrome 139.0.7258.139,,,25-08-2025 21:57:26,25-08-2025 21:57:55,"29,628s",PASSED
,,,,,,,
Test Cases/Employee/TC_AddEmployee,Chrome 139.0.7258.139,,,25-08-2025 21:57:26,25-08-2025 21:57:55,"29,061s",PASSED
"openBrowser("""")",Chrome 139.0.7258.139,,,25-08-2025 21:57:27,25-08-2025 21:57:29,"2,040s",PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 139.0.7258.139,,,25-08-2025 21:57:29,25-08-2025 21:57:32,"3,358s",PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 139.0.7258.139,,,25-08-2025 21:57:32,25-08-2025 21:57:33,"1,211s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 139.0.7258.139,,,25-08-2025 21:57:33,25-08-2025 21:57:34,"0,337s",PASSED
"sendKeys(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), Keys.chord(ENTER))",Chrome 139.0.7258.139,,,25-08-2025 21:57:34,25-08-2025 21:57:34,"0,303s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Admin_oxd-main-menu-item""))",Chrome 139.0.7258.139,"Click PIM at dashboard
",,25-08-2025 21:57:34,25-08-2025 21:57:38,"3,960s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/li_Configuration_oxd-topbar-body-nav-tab""))",Chrome 139.0.7258.139,Click tab employee,,25-08-2025 21:57:38,25-08-2025 21:57:45,"7,354s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/div_Configuration_orangehrm-card-container""))",Chrome 139.0.7258.139,"Validation for ""Add Employee"" form
",,25-08-2025 21:57:45,25-08-2025 21:57:47,"1,309s",PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Employee Full Name_firstName""), ""qwer"")",Chrome 139.0.7258.139,,,25-08-2025 21:57:47,25-08-2025 21:57:47,"0,573s",PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Employee Full Name_lastName""), ""rtyu"")",Chrome 139.0.7258.139,,,25-08-2025 21:57:47,25-08-2025 21:57:48,"0,558s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Cancel_oxd-button oxd-button--medium_160139""))",Chrome 139.0.7258.139,,,25-08-2025 21:57:48,25-08-2025 21:57:48,"0,315s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/div_OrangeHRM, Inc_oxd-toast oxd-toast--suc_e9b1cc""))",Chrome 139.0.7258.139,Validation if member already added,,25-08-2025 21:57:48,25-08-2025 21:57:50,"1,800s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button__oxd-button oxd-button--medium oxd-b_ad9c84""))",Chrome 139.0.7258.139,,,25-08-2025 21:57:50,25-08-2025 21:57:54,"4,138s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/li__oxd-topbar-body-nav-tab""))",Chrome 139.0.7258.139,,,25-08-2025 21:57:54,25-08-2025 21:57:55,"1,212s",PASSED
closeBrowser(),Chrome 139.0.7258.139,,,25-08-2025 21:57:55,25-08-2025 21:57:55,"0,147s",PASSED
